session_id,grade,problem_id,tutor_name,total_score,average_score,predicted_exam_score
1,9,1,gpt_base,17.0,3.4,0.40203091702510896
1,9,1,gpt_tutor,35.0,7.0,0.45343893523313544
1,9,2,gpt_base,20.0,4.0,0.46564489094475675
1,9,2,gpt_tutor,42.0,8.4,0.562540817033364
1,9,3,gpt_base,18.0,3.6,0.3930392992063688
1,9,3,gpt_tutor,40.0,8.0,0.4544995808076221
1,9,4,gpt_base,17.0,3.4,0.41635623909344227
1,9,4,gpt_tutor,46.0,9.2,0.5120476812052498
1,10,1,gpt_base,21.0,4.2,0.4015000902375025
1,10,1,gpt_tutor,40.0,8.0,0.4347820424064619
1,10,2,gpt_base,11.0,2.2,0.34448281662748126
1,10,2,gpt_tutor,43.0,8.6,0.5037882326589366
1,10,3,gpt_base,27.0,5.4,0.42341120366295576
1,10,3,gpt_tutor,44.0,8.8,0.5445575813958838
1,10,4,gpt_base,17.0,3.4,0.3309582855655806
1,10,4,gpt_tutor,25.0,5.0,0.4407904118459747
1,11,1,gpt_base,12.0,2.4,0.37092684329609515
1,11,1,gpt_tutor,42.0,8.4,0.52710517254601
1,11,2,gpt_base,18.0,3.6,0.3928379567215484
1,11,2,gpt_tutor,42.0,8.4,0.562540817033364
1,11,3,gpt_base,21.0,4.2,0.40129874775268204
1,11,3,gpt_tutor,36.0,7.2,0.44983953374722213
1,11,4,gpt_base,11.0,2.2,0.37991846111483524
1,11,4,gpt_tutor,43.0,8.6,0.5037882326589366
2,9,1,gpt_base,12.0,2.4,0.39024169672761444
2,9,1,gpt_tutor,40.0,8.0,0.4544995808076221
2,9,2,gpt_base,11.0,2.2,0.34448281662748126
2,9,2,gpt_tutor,42.0,8.4,0.5073876341448498
2,9,4,gpt_base,8.0,1.6,0.30058638110899366
2,9,4,gpt_tutor,25.0,5.0,0.21544534935619838
2,9,5,gpt_base,22.0,4.4,0.39230712993394196
2,9,5,gpt_tutor,46.0,9.2,0.5120476812052498
2,10,1,gpt_base,25.0,5.0,0.5718210284482652
2,10,1,gpt_tutor,42.0,8.4,0.5127798504776766
2,10,2,gpt_base,15.0,3.0,0.3085163453525208
2,10,2,gpt_tutor,37.0,7.4,0.5457620653726835
2,10,4,gpt_base,18.0,3.6,0.448192482094883
2,10,4,gpt_tutor,40.0,8.0,0.4544995808076221
2,10,5,gpt_base,5.0,1.0,0.29212559007786
2,10,5,gpt_tutor,17.0,3.4,0.23063098251492423
2,11,1,gpt_base,19.0,3.8,0.3838463389028083
2,11,1,gpt_tutor,42.0,8.4,0.4576266675891625
2,11,2,gpt_base,14.0,2.8,0.38817790966114846
2,11,2,gpt_tutor,25.0,5.0,0.3006419603992397
2,11,3,gpt_base,14.0,2.8,0.4078954480623086
2,11,3,gpt_tutor,45.0,9.0,0.5210392990239898
2,11,5,gpt_base,9.0,1.8,0.3270304077776075
2,11,5,gpt_tutor,23.0,4.6,0.24755256457719152
3,9,1,gpt_base,10.0,2.0,0.3180387899588674
3,9,1,gpt_tutor,41.0,8.2,0.480943607476236
3,9,2,gpt_base,22.0,4.4,0.42774277442129593
3,9,2,gpt_tutor,40.0,8.0,0.4347820424064619
3,9,3,gpt_base,24.0,4.8,0.464510036702689
3,9,3,gpt_tutor,40.0,8.0,0.5398975343354838
3,9,4,gpt_base,9.0,1.8,0.3270304077776075
3,9,4,gpt_tutor,27.0,5.4,0.45310780479048784
3,10,1,gpt_base,21.0,4.2,0.3660644457501485
3,10,1,gpt_tutor,14.0,2.8,0.2725351854939392
3,10,2,gpt_base,7.0,1.4,0.30957799892773374
3,10,2,gpt_tutor,22.0,4.4,0.30276425954893926
3,10,4,gpt_base,13.0,2.6,0.3617338829925346
3,10,4,gpt_tutor,25.0,5.0,0.25088099384355234
3,10,5,gpt_base,12.0,2.4,0.37092684329609515
3,10,5,gpt_tutor,33.0,6.6,0.3808333434947475
3,11,1,gpt_base,18.0,3.6,0.36299587105184167
3,11,1,gpt_tutor,34.0,6.8,0.4521046632985085
3,11,2,gpt_base,14.0,2.8,0.35294360765861493
3,11,2,gpt_tutor,36.0,7.2,0.4444473174143953
3,11,3,gpt_base,9.0,1.8,0.3270304077776075
3,11,3,gpt_tutor,22.0,4.4,0.292181169368106
3,11,5,gpt_base,12.0,2.4,0.3707255008112747
3,11,5,gpt_tutor,19.0,3.8,0.30862879058613896
4,9,1,gpt_base,14.0,2.8,0.38817790966114846
4,9,1,gpt_tutor,46.0,9.2,0.5120476812052498
4,9,2,gpt_base,12.0,2.4,0.3000555543213872
4,9,2,gpt_tutor,25.0,5.0,0.17960701989920355
4,9,3,gpt_base,24.0,4.8,0.4651140641571503
4,9,3,gpt_tutor,44.0,8.8,0.5445575813958838
4,9,4,gpt_base,14.0,2.8,0.4134890068799559
4,9,4,gpt_tutor,40.0,8.0,0.5152463225137836
4,10,1,gpt_base,17.0,3.4,0.40203091702510896
4,10,1,gpt_tutor,39.0,7.8,0.5277788297352033
4,10,2,gpt_base,8.0,1.6,0.30058638110899366
4,10,2,gpt_tutor,39.0,7.8,0.44377366022520204
4,10,4,gpt_base,12.0,2.4,0.3000555543213872
4,10,4,gpt_tutor,28.0,5.6,0.32841760486189264
4,10,5,gpt_base,13.0,2.6,0.29086259401782666
4,10,5,gpt_tutor,40.0,8.0,0.4347820424064619
4,11,1,gpt_base,29.0,5.8,0.41061884187348197
4,11,1,gpt_tutor,41.0,8.2,0.480943607476236
4,11,2,gpt_base,23.0,4.6,0.47410568197589037
4,11,2,gpt_tutor,38.0,7.6,0.46729194259709594
4,11,4,gpt_base,23.0,4.6,0.4737029970062495
4,11,4,gpt_tutor,40.0,8.0,0.4702176868938159
4,11,5,gpt_base,10.0,2.0,0.3534744344462214
4,11,5,gpt_tutor,26.0,5.2,0.34640084049937286
